Series_Title,Released_Year,Certificate,Genre,IMDB_Rating,Overview,Director,Star1,Star2,Star3,Star4,Keywords,soup
The Lives of Others,2006,Adult,drama  mystery  thriller,8.4,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",florianhenckelvondonnersmarck,ulrichmühe,martinagedeck,sebastiankoch,ulrichtukur, ,drama  mystery  thriller florianhenckelvondonnersmarck ulrichmühe martinagedeck sebastiankoch ulrichtukur  
Oldeuboi,2003,Adult,action  drama  mystery,8.4,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",chan-wookpark,choimin-sik,yooji-tae,kanghye-jeong,kimbyeong-ok, ,action  drama  mystery chan-wookpark choimin-sik yooji-tae kanghye-jeong kimbyeong-ok  
Memento,2000,Adult,mystery  thriller,8.4,A man with short-term memory loss attempts to track down his wife's murderer.,christophernolan,guypearce,carrie-annemoss,joepantoliano,markboonejunior, ,mystery  thriller christophernolan guypearce carrie-annemoss joepantoliano markboonejunior  
Mononoke-hime,1997,Family,animation  action  adventure,8.4,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",hayaomiyazaki,yôjimatsuda,yurikoishida,yûkotanaka,billycrudup, ,animation  action  adventure hayaomiyazaki yôjimatsuda yurikoishida yûkotanaka billycrudup  
Once Upon a Time in America,1984,Adult,crime  drama,8.4,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",sergioleone,robertdeniro,jameswoods,elizabethmcgovern,treatwilliams, ,crime  drama sergioleone robertdeniro jameswoods elizabethmcgovern treatwilliams  
Raiders of the Lost Ark,1981,Adult,action  adventure,8.4,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.",stevenspielberg,harrisonford,karenallen,paulfreeman,johnrhys-davies, ,action  adventure stevenspielberg harrisonford karenallen paulfreeman johnrhys-davies  
The Shining,1980,Adult,drama  horror,8.4,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",stanleykubrick,jacknicholson,shelleyduvall,dannylloyd,scatmancrothers, ,drama  horror stanleykubrick jacknicholson shelleyduvall dannylloyd scatmancrothers  
Apocalypse Now,1979,Adult,drama  mystery  war,8.4,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,francisfordcoppola,martinsheen,marlonbrando,robertduvall,fredericforrest, ,drama  mystery  war francisfordcoppola martinsheen marlonbrando robertduvall fredericforrest  
Alien,1979,Adult,horror  sci-fi,8.4,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",ridleyscott,sigourneyweaver,tomskerritt,johnhurt,veronicacartwright, ,horror  sci-fi ridleyscott sigourneyweaver tomskerritt johnhurt veronicacartwright  
Anand,1971,Family,drama  musical,8.4,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",hrishikeshmukherjee,rajeshkhanna,amitabhbachchan,sumitasanyal,rameshdeo, ,drama  musical hrishikeshmukherjee rajeshkhanna amitabhbachchan sumitasanyal rameshdeo  
Tengoku to jigoku,1963,Adult,crime  drama  mystery,8.4,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,akirakurosawa,toshirômifune,yutakasada,tatsuyanakadai,kyôkokagawa, ,crime  drama  mystery akirakurosawa toshirômifune yutakasada tatsuyanakadai kyôkokagawa  
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Adult,comedy,8.4,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,stanleykubrick,petersellers,georgec.scott,sterlinghayden,keenanwynn, ,comedy stanleykubrick petersellers georgec.scott sterlinghayden keenanwynn  
